major,requiredClasses
Nurse Anesthetist DNP,"['NURS 647 Leadership in Health Care Systems', 'ANES 649 Science Principles of Anesthesia', 'ANES 629 Advanced Pharmacology for DNP Anesthesia I', 'ANES 644 Principles of DNP Nurse Anesthesia Practice I', 'HSCI 648 Designing for Quality in Health Care', 'NURS 637 Informatics for Advanced Nursing Practice', 'NURS 604 Evidence-Based Nursing Practice', 'ANES 713 Advanced Pharmacology for DNP Anesthesia II', 'ANES 745 Principles of DNP Nurse Anesthesia Practice II', 'NURS 703 Research Methodology and Advanced Evidence-Based Practice', 'NURS 708 Epidemiology and Population Health', 'ANES 746 Principles of DNP Nurse Anesthesia Practice III', 'NURS 616 Health Assessment for Advanced Nursing Practice', 'NURS 616L Health Assessment for Advanced Nursing Practice Lab', 'NURS 636 Labs and Diagnostics for Advanced Practice Nursing', 'NURS 700 Advanced Nursing Science', 'NURS 749 Resource Management and Finance for Health Care', 'NURS 751 Health Policy and Advocacy', 'NURS 741 Pre-Scholarship', 'NURS 742 DNP Scholarship Project Assessment', 'NURS 750 DNP Scholarship I', 'NURS 760 DNP Scholarship II', 'NURS 770 DNP Scholarship III']"
Nurse Anesthetist MSN,"['NURS 661 Principles of Anesthesia Practice I', 'NURS 662 Principles of Anesthesia Practice II', 'NURS 663 Professional Aspects of Anesthesia I', 'NURS 664 Chemistry, Physics, and Math for Anesthesia Professionals', 'NURS 665 Advanced Physiology and Pathophysiology for Nurse Anesthesia I', 'NURS 666 Advanced Pharmacology for Nurse Anesthesia I', 'NURS 668 Principles of Anesthesia Practice III', 'NURS 669 Advanced Physiology and Pathophysiology for Nurse Anesthesia II', 'NURS 671 Advanced Pharmacology for Nurse Anesthesia II', 'NURS 672 Professional Aspects of Anesthesia II', 'NURS 673P Anesthesia Clinical Practicum I', 'NURS 674 Principles of Anesthesia Practice IV', 'NURS 675 Principles of Anesthesia Practice V', 'NURS 676 Principles of Anesthesia Practice VI', 'NURS 677 Statistics and Research for Nurse Anesthesia', 'NURS 678 Professional Aspects of Anesthesia III', 'NURS 679P Anesthesia Clinical Practicum II', 'NURS 686 Instructional Design', 'NURS 687 Anesthesia and Uncommon Diseases', 'NURS 688P Anesthesia Clinical Practicum III', 'NURS 689P Anesthesia Clinical Practicum IV', 'NURS 692 Theories of Management and Leadership for Nurse Anesthesia', 'NURS 694P Anesthesia Clinical Practicum V', 'NURS 698 Research Presentation', 'NURS 695P Anesthesia Clinical Practicum VI']"
Nursing Entry Level MSN,"['NURS 304 Fundamental Concepts of Professional Nursing', 'NURS 306 Essential Concepts of Pharmacology I', 'NURS 309 Holistic Nursing Care of the Adult I', 'NURS 400P Intensive Practicum I', 'NURS 404 Essential Concepts of Pharmacology II', 'NURS 405 Essential Concepts of Pharmacology III', 'NURS 409 Holistic Nursing Care of Women, Children, and Families', 'NURS 410 Applied Pathophysiology', 'NURS 414 Geriatric Nursing', 'NURS 460 Mental Health Nursing', 'NURS 462 Holistic Nursing Care of the Adult II', 'NURS 600P Intensive Practicum II', 'NURS 601 Nursing Science', 'NURS 603 Advanced Integrative Nursing Care', 'NURS 604 Evidence-Based Nursing Practice', 'NURS 623 Advanced Integration of Pathophysiology, Pharmacology and Health Assessment', 'NURS 646 Informatics for Nursing Practice', 'NURS 648 Leadership, Quality, and Finance in Nursing', 'NURS 656 Nursing in the Community', 'NURS 690P Capstone Practicum', 'NURS 696 Comprehensive Care Seminar', 'NURS 656P Intensive Practicum III', 'NURS 325L Health Assessment']"
Nursing MANE BSN,"['WRIT 131 Writing I', 'PSYC 100 General Psychology', 'COMM 231 Introduction to Interpersonal Communication', 'PSYC 311 Life Span Developmental Psychology', 'BIOL 221 Human Anatomy and Physiology I', 'BIOL 221L Human Anatomy and Physiology I Lab', 'BIOL 222L Human Anatomy and Physiology II Lab', 'BIOL 222 Human Anatomy and Physiology II', 'BIOL 225 Basic Microbiology', 'BIOL 225L Basic Microbiology Lab', 'STAT 201 Statistics I', 'PHIL 321 Medical Ethics', 'WRIT 331 Writing in Your Major', 'NURS 270 Health Promotion and the Role of the Professional Nurse', 'NURS 275 Nutrition and the Role of the Professional Nurse', 'NURS 280 Chronic and Palliative Care', 'NURS 282 Pharmacology and the Role of the Professional Nurse', 'NURS 285 Applied Pathophysiology for Nursing I', 'NURS 361 Acute and Complex Care', 'NURS 362 Applied Pathophysiology for Nursing II', 'NURS 364 Nursing Leadership I', 'NURS 406 Nursing Care of the Family', 'NURS 444 Evidence-Based Nursing Practice', 'NURS 446 Nursing Informatics', 'NURS 459 Population Based Care', 'NURS 464 Nursing Leadership II', 'NURS 485 Global Health Perspectives for Nursing', 'NURS 490 Integrative Seminar and Practicum ']"
Nursing RN to BSN,"['NURS 301 Theoretical Foundations for Nursing Practice', 'NURS 302 Introduction to Baccalaureate Nursing', 'NURS 446 Nursing Informatics', 'STAT 201 Statistics I', 'NURS 335 Introduction to Evidence-Based Practice', 'NURS 407 Family Health Nursing', 'NURS 420 Lifespan Transitions: Aging and Health', 'NURS 307 Integrative Nursing Care', 'NURS 456 Community Health Nursing', 'NURS 456P Community Health Nursing Practicum', 'HSCI 309 Global Health Issues', 'NURS 465 Leadership and Management in Nursing', 'PHIL 321 Medical Ethics']"
Organizational Administration BAS,"['MATH 115 College Algebra', 'STAT 201 Statistics I', 'ECON 202 Microeconomics', 'ECON 201 Macroeconomics', 'MIS 100 Fundamentals of Information Technology in Organizations', 'ACCT 210 Financial Accounting', 'FIN 390 Principles of Finance', 'DSCI 434 Introduction to Operations Management', 'MGMT 310 Management Principles and Practices', 'MIS 310 Principles of Management Information Systems', 'MKTG 300 Marketing Principles', 'MGMT 499 Case Studies in Strategic Management', 'ENTR 490 Entrepreneurship and Venture Creation']"
Organizational Communication Minor,"['COMM 103 Public Speaking', 'COMM 351 Communication in Work Groups', 'COMM 352 Organizational Communication', 'COMM 333 Intermediate Intercultural Communication', 'COMM 452 Advanced Organizational Communication', 'MDST 485 Communicating with New Media ']"
Philosophy BA,"['PHIL 204 Introduction to Symbolic Logic', 'PHIL 303 Principles of Inquiry:  Ways of Knowing', 'PHIL 306 Philosophy and Sexuality', 'PHIL 352 Borders, Walls, Us and Them', 'PHIL 362 Philosophy and Blackness', 'PHIL 364 Feminism and Philosophy', 'PHIL 365 The Cultural Politics of GLBT Sexuality', 'PHIL 366 Race and Racism:  Philosophical Problems', 'PHIL 375 Ancient Greek Philosophy', 'PHIL 376 Early Modern European Philosophy', 'PHIL 378 Contemporary Epistemology and Metaphysics', 'PHIL 379 Contemporary Moral Theory', 'PHIL 499 Philosophy Capstone Seminar', 'PHIL 100 Multicultural Introduction to Philosophy', 'PHIL 102 Philosophy, Film and the Meaning of Life', 'PHIL 105 Views of Human Nature', 'PHIL 301 Ethical Inquiry', 'PHIL 302 Philosophy Now:', 'PHIL 308 Faith and Reason: The Philosophy of Religion', 'PHIL 310 Environmental Philosophy', 'PHIL 334 Philosophy for Children', 'PHIL 354 Economic Justice:  Who Gets What and Why?', 'PHIL 360I Philosophy Student Designed Independent Studies', 'PHIL 320 Business Ethics', 'PHIL 321 Medical Ethics', 'PHIL 327 Ethics in the Information Age']"
Philosophy Minor,"['PHIL 204 Introduction to Symbolic Logic', 'PHIL 303 Principles of Inquiry:  Ways of Knowing', 'PHIL 306 Philosophy and Sexuality', 'PHIL 352 Borders, Walls, Us and Them', 'PHIL 362 Philosophy and Blackness', 'PHIL 364 Feminism and Philosophy', 'PHIL 365 The Cultural Politics of GLBT Sexuality', 'PHIL 366 Race and Racism:  Philosophical Problems', 'PHIL 375 Ancient Greek Philosophy', 'PHIL 376 Early Modern European Philosophy', 'PHIL 378 Contemporary Epistemology and Metaphysics', 'PHIL 379 Contemporary Moral Theory', 'PHIL 100 Multicultural Introduction to Philosophy', 'PHIL 102 Philosophy, Film and the Meaning of Life', 'PHIL 105 Views of Human Nature', 'PHIL 301 Ethical Inquiry', 'PHIL 302 Philosophy Now:', 'PHIL 308 Faith and Reason: The Philosophy of Religion', 'PHIL 310 Environmental Philosophy', 'PHIL 320 Business Ethics', 'PHIL 321 Medical Ethics', 'PHIL 327 Ethics in the Information Age', 'PHIL 334 Philosophy for Children', 'PHIL 354 Economic Justice:  Who Gets What and Why?', 'PHIL 360I Philosophy Student Designed Independent Studies']"
Physics Minor,"['MATH 115 College Algebra', 'MATH 120 Precalculus', 'MATH 210 Calculus I', 'MATH 211 Calculus II', 'PHYS 211 Calculus Based Physics I', 'PHYS 212 Calculus Based Physics II', 'PHYS 351 Thermodynamics', 'PHYS 355 Modern Physics', 'PHYS 357 Modern Physics Lab  ', 'PHYS 469 Seminars in Physics', 'PHYS 479 Special Topics in Physics ', 'PHYS 489 Directed Research in Physics', 'MATH 230 Introduction to Mathematical Modeling', 'MATH 350 Ordinary Differential Equations', 'MATH 420 Numerical Analysis', 'MATH 430 Advanced Mathematical Modeling']"
Political Science Minor,"['POL 101 Introduction to American Government and Politics', 'POL 301 Citizenship in a Global Context', 'POL 321 Approaches to World Politics']"
"Political Science Track, Social Science BA","['POL 301 Citizenship in a Global Context', 'POL 321 Approaches to World Politics', 'SSCI 300 Seeing Like a Social Scientist', 'SSCI 311 Research Methods in Social Science', 'SSCI 501 Great Ideas:  Classics of Social Science', 'SSCI 451 Empirical Research Capstone', 'SSCI 452 Conceptual Research Capstone']"
Practical Ethics Minor,"['PHIL 301 Ethical Inquiry', 'PHIL 354 Economic Justice:  Who Gets What and Why?', 'PHIL 379 Contemporary Moral Theory', 'PHIL 306 Philosophy and Sexuality', 'PHIL 352 Borders, Walls, Us and Them', 'PHIL 362 Philosophy and Blackness', 'PHIL 364 Feminism and Philosophy', 'PHIL 365 The Cultural Politics of GLBT Sexuality', 'PHIL 366 Race and Racism:  Philosophical Problems', 'PHIL 310 Environmental Philosophy', 'PHIL 320 Business Ethics', 'PHIL 321 Medical Ethics', 'PHIL 325 Criminal Justice Ethics', 'PHIL 327 Ethics in the Information Age']"
Professional Communication BA: Organizational Communication Track ,"['COMM 103 Public Speaking', 'COMM 103P Public Speaking Proficiency Test', 'INFS 315 Searching for Information', 'COMM 333 Intermediate Intercultural Communication', 'COMM 351 Communication in Work Groups', 'COMM 352 Organizational Communication', 'COMM 372 Health Communication', 'MDST 485 Communicating with New Media ', 'COMM 452 Advanced Organizational Communication', 'COMM 472 Advanced Health Communication: Campaigns', 'WRIT 010 SCWA Internship Workshop', 'COMM 320 Individual Rights and Public Discourse', 'COMM 332 Negotiation And Mediation Skills', 'COMM 381 Public Relations Principles', 'COMM 482 Applied Communication Research ', 'COMM 499 Topics in Communication', 'MDST 487 Podcasting: Writing and Producing for Audio/Radio', 'MDST 490 Big Data and the Connected Citizen']"
Professional Communication BA: Public Relations Track ,"['COMM 103 Public Speaking', 'COMM 103P Public Speaking Proficiency Test', 'INFS 315 Searching for Information', 'COMM 333 Intermediate Intercultural Communication', 'COMM 320 Individual Rights and Public Discourse', 'COMM 381 Public Relations Principles', 'COMM 385 Media Relations', 'MDST 361 Visual Communication', 'MDST 485 Communicating with New Media ', 'COMM 386 Public Relations Writing', 'COMM 481 Advanced Public Relations', 'WRIT 010 SCWA Internship Workshop', 'COMM 351 Communication in Work Groups', 'COMM 499 Topics in Communication', 'MDST 487 Podcasting: Writing and Producing for Audio/Radio', 'MGMT 310 Management Principles and Practices', 'SCRW 315 Film Production and Editing I', 'WRIT 371 Editing']"
Project Management GCERT,"['DSCI 620 Project Management', 'DSCI 630 Project Risk Management', 'DSCI 691 Project Management Leadership and Problem Solving']"
Project Management Minor,"['MGMT 310 Management Principles and Practices', 'DSCI 444 Project Leadership and Execution', 'DSCI 420 Project Management', 'DSCI 421 Project Planning and Budgeting', 'BLAW 310 Business Law:  UCC and Contracts']"
Psychology BA,"['PSYC 100 General Psychology', 'PSYC 200 Fundamentals of Psychological Science', 'PSYC 212 Introduction to Diversity and Ethics in Psychology', 'PSYC 312 Research Methods', 'PSYC 405 History and Systems of Psychology', 'PSYC 407 Professional and Career Applications of Psychology', 'PSYC 336 Social Psychology', 'PSYC 363 Community Psychology', 'PSYC 309 Cognitive Psychology', 'PSYC 317 Human Factors', 'PSYC 330 Psychology of Learning:  Contemporary Theories and Applications', 'PSYC 345 Biopsychology', 'PSYC 391 Sensation and Perception', 'PSYC 300 Abnormal Psychology', 'PSYC 332 Psychology of Personality', 'PSYC 301 Adolescent Psychology', 'PSYC 302 Adult Development and Lifelong Learning', 'PSYC 308 Child Psychology', 'PSYC 311 Life Span Developmental Psychology']"
Psychology MA,"['PSYC 610 Applied Research Methods', 'PSYC 618 Program Evaluation', 'PSYC 615 Qualitative Methods and Analysis']"
Psychology Minor,"['PSYC 100 General Psychology', 'STAT 201 Statistics I', 'PSYC 307 Data/Statistical Analysis for the Behavioral Sciences', 'PSYC 312 Research Methods', 'PSYC 317 Human Factors', 'PSYC 336 Social Psychology', 'PSYC 363 Community Psychology', 'PSYC 309 Cognitive Psychology', 'PSYC 330 Psychology of Learning:  Contemporary Theories and Applications', 'PSYC 345 Biopsychology', 'PSYC 391 Sensation and Perception', 'PSYC 300 Abnormal Psychology', 'PSYC 332 Psychology of Personality', 'PSYC 301 Adolescent Psychology', 'PSYC 302 Adult Development and Lifelong Learning', 'PSYC 308 Child Psychology', 'PSYC 311 Life Span Developmental Psychology']"
Public Relations Minor,"['COMM 381 Public Relations Principles', 'COMM 385 Media Relations', 'COMM 386 Public Relations Writing', 'COMM 481 Advanced Public Relations', 'COMM 320 Individual Rights and Public Discourse', 'COMM 351 Communication in Work Groups', 'INFS 315 Searching for Information', 'MDST 361 Visual Communication']"
Religious Studies Minor,"['RELS 301 Introduction to Religious Studies', 'RELS 301 Introduction to Religious Studies', 'RELS 302 Introduction to the Hebrew Bible  (the Old Testament)', 'RELS 303 Exploring Christian Origins', 'RELS 304 Introduction to World Religions', 'RELS 305 Jewish-Christian Encounter', 'RELS 306 The Spiritual Journey', 'RELS 307 Civil Religion: Theory, Practice, Analysis ', 'RELS 308 World of Islam', 'RELS 309 Justice, War and Peace in Judaism, Christianity and Islam', 'RELS 312 Religious Traditions of China', 'RELS 322 American Indian Spirituality', 'RELS 333 Race and Religion', 'RELS 344 Religion and Psychology', 'RELS 555 Religion and Politics in America', 'RELS 366 Religion, Morality and Contemporary U.S. Society', 'RELS 377 Women and Religion', 'RELS 380 Muslim Identities in the United States', 'RELS 390 Zen Buddhism in American Culture']"
Research and Information Studies Minor,"['INFS 315 Searching for Information', 'INFS 338 The Craft and Commerce of Book Publishing', 'INFS 340 Research in Special Collections and Archives', 'ARTS 300 Museums and Galleries', 'ARTS 302 Exhibition Practices', 'MDST 487 Podcasting: Writing and Producing for Audio/Radio', 'MDST 520 Digital Storytelling', 'HIST 301 Historical Interpretation', 'LIT 332 Adolescent Literatures', 'INFS 350I Information Studies Individual Internship', 'INFS 518 Information Issues:', 'MDST 580 Issues in Communication Technology']"
Risk Management and Insurance Minor,"['ACCT 210 Financial Accounting', 'RMI 300 Risk Management and Insurance', 'RMI 304 Life and Health Insurance', 'RMI 306 Property and Casualty Insurance', 'BLAW 310 Business Law:  UCC and Contracts', 'ECON 316 Health Economics', 'HRM 544 Employee Benefits Management', 'MKTG 435 Sales and Sales Management', 'MKTG 456 Professional Negotiations', 'PFIN 101 Personal Finance and Investing']"
Screenwriting BA,"['SCRW 313 Beginning Screenwriting', 'SCRW 314 New Screenplay Forms', 'SCRW 315 Film Production and Editing I', 'SCRW 415 Advanced Screenwriting', 'SCRW 416 Projects in Screenwriting', 'SCRW 350I Screenwriting Individual Internship', 'SCRW 383 Writing For Video Games', 'SCRW 410 Film Production and Editing II ', 'IDST 370 Cinema, Self and Other', 'MDST 333 Cinema in the Cities:', 'MDST 370 Contemporary Cinema', 'MDST 371 American Film:  Tradition and Trends', 'MDST 375 Women in Film', 'MDST 378 World Cinema', 'MDST 560 Writing for Television Comedy', 'MDST 561 Advanced Television Writing ', 'THEA 321 Directed Readings in Theater', 'THEA 346 Topics', 'THEA 345 Acting III', 'THEA 400 Playwriting I', 'WRIT 251 Introduction to Creative Writing', 'WRIT 359 Boot Camp: Creative Writing for Non-Majors', 'WRIT 353 Writing Short Fiction', 'WRIT 358 1000 Words or Less']"
Screenwriting Minor,"['SCRW 313 Beginning Screenwriting', 'SCRW 314 New Screenplay Forms', 'SCRW 415 Advanced Screenwriting', 'SCRW 416 Projects in Screenwriting', 'SCRW 315 Film Production and Editing I', 'SCRW 383 Writing For Video Games', 'MDST 370 Contemporary Cinema', 'MDST 560 Writing for Television Comedy', 'IDST 370 Cinema, Self and Other', 'MDST 330 Topics in Film Studies']"
Social Science BA,[]
Social Studies for Teaching BS,"['GEOG 201 Introduction to Geography', 'POL 101 Introduction to American Government and Politics', 'SOC 101 Introduction to Sociology', 'HIST 101 The American Past:  To 1865', 'HIST 102 The American Past:  From 1865', 'HIST 103 World History I:  Patterns of Civilization to 1500', 'HIST 104 World History II:  The Modern World, 1500 to the Present', 'ECON 200 Introduction to Economics for Non-Business and Non-Economics Majors', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ANTH 302 Gender and Culture', ""HIST 394 Comparative Women's History"", 'ANTH 329 Race and Ethnicity: Sociological and Anthropological Perspectives', 'ETHS 302 Immigrant Communities and the Trajectories of Othering', 'ETHS 309 Race and Public Policy', 'ETHS 311 Understanding Racial and Ethnic Groups in the United States', 'ETHS 232 American Indians in Minnesota', 'ETHS 332 Topics in Contemporary Native North America', 'POL 301 Citizenship in a Global Context', 'POL 321 Approaches to World Politics', 'HIST 301 Historical Interpretation', 'SSCI 401 Social Science Seminar: Contending Perspectives']"
Social Work,"['SOWK 321 Social Work Practice I', 'SOWK 333 Human Behavior in the Social Environment ', 'SOWK 522 Social Work Practice II', 'SOWK 341 Comparative Racial/Ethnic Analysis I', 'SOWK 542 Comparative Racial/Ethnic Analysis II', 'SOWK 360 Social Welfare History and Policy ', 'SOWK 351 Social Research', 'SOWK 552 Community Research and Advocacy', 'SOWK 391 Community Learning Center Practicum', 'SOWK 591 Social Work Senior Practicum', 'SOWK 592 Multicultural Child Welfare Senior Practicum', 'SOWK 381 Community Learning Center Seminar', 'SOWK 582 Social Work Capstone Seminar', 'SOWK 584 Multicultural Child Welfare Field Seminar']"
Sociology Minor,"['SOC 101 Introduction to Sociology', 'SOC 301 Contemporary Sociology', 'SOC 302 Interpersonal and Social Power:  A View from Below', 'SOC 321 Food, Culture, and Society']"
"Sociology Track, Social Science BA","['SOC 301 Contemporary Sociology', 'SOC 302 Interpersonal and Social Power:  A View from Below', 'SOC 321 Food, Culture, and Society', 'SSCI 300 Seeing Like a Social Scientist', 'SSCI 311 Research Methods in Social Science', 'SSCI 501 Great Ideas:  Classics of Social Science', 'SSCI 451 Empirical Research Capstone', 'SSCI 452 Conceptual Research Capstone']"
Studio Arts BA,"['ARTS 106 Introduction to Drawing', 'ARTS 207 Introduction to Painting', 'ARTS 300 Museums and Galleries', 'ARTS 400 Capstone Seminar', 'ARTS 115 Introduction to Photography', 'ARTS 203 Introduction to Digital Arts', 'ARTS 301 Current Topics: Variable Subtitles', 'ARTS 302 Exhibition Practices', 'ARTS 304 Topics in Fibers', 'ARTS 306 Intermediate Drawing', 'ARTS 307 Intermediate Painting', 'ARTS 309 Photography: History of a Visual Artform', 'ARTS 311 Watercolors', 'ARTS 316 Intermediate Photography', 'ARTS 319 Topics in Printmaking', 'ARTS 320 Topics in Clay: Variable Subtitles ', 'ARTS 323 Intermediate Digital Arts', 'ARTS 350I Arts Individualized Internship', 'ARTS 360I Studio Arts Student Designed Independent Study', 'HUM 333 The Photo and the Other', 'SCRW 315 Film Production and Editing I', 'WRIT 377 Writing Proposals and Grants']"
Studio Arts Minor,"['ARTS 106 Introduction to Drawing', 'ARTS 115 Introduction to Photography', 'ARTS 203 Introduction to Digital Arts', 'ARTS 207 Introduction to Painting', 'ARTS 300 Museums and Galleries', 'ARTS 301 Current Topics: Variable Subtitles', 'ARTS 302 Exhibition Practices', 'ARTS 304 Topics in Fibers', 'ARTS 306 Intermediate Drawing', 'ARTS 307 Intermediate Painting', 'ARTS 309 Photography: History of a Visual Artform', 'ARTS 311 Watercolors', 'ARTS 316 Intermediate Photography', 'ARTS 319 Topics in Printmaking', 'ARTS 320 Topics in Clay: Variable Subtitles ', 'ARTS 323 Intermediate Digital Arts', 'ARTS 360I Studio Arts Student Designed Independent Study']"
Substance Use Disorders Post-baccalaureate UCERT,"['HSCD 200 Pharmacology of Addictive Drugs', 'HSCD 300 Introduction to Substance Use Disorders ', 'HSER 346 Counseling and Interviewing Skills', 'HSCD 302 Assessment of Substance Use Disorders', 'HSER 348 Group Counseling', 'HSCD 303 Racial and Cultural Considerations for Alcohol and Drug Counseling', 'HSCD 309 Co-Occurring Disorders:  Substance Use and Mental Health', 'HSCD 353 Case Management for Alcohol and Drug Counseling', 'HSCD 320 Alcohol and Drug Counseling Pre-Practicum Seminar', 'HSCD 380 Alcohol and Drug Counseling Group Practicum I', 'HSCD 390 Alcohol and Drug Counseling Group Practicum II']"
Supply Chain and Operations Management BS,"['MIS 100 Fundamentals of Information Technology in Organizations', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'ACCT 210 Financial Accounting', 'DSCI 434 Introduction to Operations Management', 'FIN 390 Principles of Finance', 'MGMT 310 Management Principles and Practices', 'MIS 310 Principles of Management Information Systems', 'MKTG 300 Marketing Principles', 'DSCI 440 Supply Chain Planning and Control', 'MKTG 455 Logistics in Supply Chain', 'DSCI 450 Supply Chain and Operations Management Strategy', 'DSCI 420 Project Management', 'IBUS 311 International Business Environment and Operations', 'MGMT 340 Managing Quality', 'MKTG 449 Fundamentals of Purchasing Management', 'MIS 456 Supply Chain Information Systems', 'ACCT 320 Strategic Management Accounting', 'MKTG 451 Materials Management', 'DSCI 415 Special Topics in Supply Chain and Operations ', 'MIS 370 Retail Information Systems', 'MGMT 499 Case Studies in Strategic Management']"
Supply Chain and Operations Management Minor,"['MIS 100 Fundamentals of Information Technology in Organizations', 'MATH 115 College Algebra', 'STAT 201 Statistics I', 'MGMT 310 Management Principles and Practices', 'DSCI 434 Introduction to Operations Management', 'MKTG 455 Logistics in Supply Chain', 'DSCI 440 Supply Chain Planning and Control', 'DSCI 450 Supply Chain and Operations Management Strategy', 'ACCT 320 Strategic Management Accounting', 'DSCI 420 Project Management', 'IBUS 311 International Business Environment and Operations', 'MGMT 340 Managing Quality', 'MIS 456 Supply Chain Information Systems', 'MKTG 449 Fundamentals of Purchasing Management', 'MKTG 451 Materials Management', 'DSCI 415 Special Topics in Supply Chain and Operations ', 'MIS 370 Retail Information Systems']"
Systems Analysis GCERT,"['MIS 600 Management Information Systems', 'DSCI 620 Project Management', 'MIS 662 Management of Distributed Computing', 'MIS 665 Systems Design and Decision Support', 'MIS 667 Telecommunications and Internet Management', 'MIS 643 Telecommunications and Internet Management - Part One', 'MIS 657 Database and Client/Server Systems']"
Technical Communication and Professional Writing BA,"['WRIT 301 Professional and Technical Writing Careers', 'WRIT 280 Digital Tools for Writing and Communication', 'INFS 315 Searching for Information', 'WRIT 302 Content Strategy', 'WRIT 371 Editing', 'WRIT 372 Document and Information Design I', 'WRIT 373 Writing and Designing for the Web I', 'WRIT 461 Writing and Technical Communication Capstone', 'WRIT 010 SCWA Internship Workshop', 'WRIT 271 Technical Writing', 'WRIT 574 Usability and User Experience', 'WRIT 375 Environmental Communication', 'WRIT 377 Writing Proposals and Grants', 'WRIT 531 Advanced Writing', 'WRIT 571 Advanced Editing', 'WRIT 599 Advanced Topics', 'MDST 485 Communicating with New Media ', 'MDST 520 Digital Storytelling', 'MDST 583 Online Education and Training', 'INFS 338 The Craft and Commerce of Book Publishing', 'MDST 485 Communicating with New Media ', 'WRIT 341 Writing the News in a Digital World', 'WRIT 344 Writing for Publication and Profit', 'WRIT 344 Writing for Publication and Profit', 'WRIT 377 Writing Proposals and Grants', 'WRIT 531 Advanced Writing', 'WRIT 532 Writing about Place', 'WRIT 571 Advanced Editing', 'WRIT 583 Writing Major Projects', 'WRIT 599 Advanced Topics', 'MKTG 348 Advertising Copywriting, Design and Production', 'MDST 520 Digital Storytelling', 'INFS 338 The Craft and Commerce of Book Publishing']"
Technical Communication Minor,"['WRIT 271 Technical Writing', 'WRIT 301 Professional and Technical Writing Careers', 'WRIT 302 Content Strategy', 'WRIT 371 Editing', 'WRIT 372 Document and Information Design I', 'WRIT 373 Writing and Designing for the Web I']"
Technical Communication MS,"['WRIT 271 Technical Writing', 'WRIT 371 Editing', 'WRIT 671 Technical Communication Theory and Research Seminar', 'WRIT 673 Technical Communication in International Contexts', 'WRIT 683 Technical Communication Capstone', 'WRIT 685 Rhetorical Theory', 'MDST 520G Digital Storytelling', 'MDST 583G Online Education and Training', 'WRIT 676 Advanced Writing and Designing for the Web']"
Theater BA,"['THEA 321 Directed Readings in Theater', 'THEA 345 Acting III', 'THEA 445 Advanced Acting', 'THEA 351 Production and Performance Laboratory', 'THEA 390 The Evolution of Western Theater', 'THEA 400 Playwriting I', 'THEA 441 Career and Portfolio Seminar', 'THEA 540 Directing and Creating Theater']"
Theater Minor,"['THEA 321 Directed Readings in Theater', 'THEA 331 Voice:  Speaking from Experience', 'THEA 345 Acting III', 'THEA 351 Production and Performance Laboratory', 'THEA 390 The Evolution of Western Theater', 'THEA 400 Playwriting I', 'THEA 540 Directing and Creating Theater']"
Transportation Management Concentration (Indiv BA),"['PRSP 301 Perspectives:  Educational Philosophy and Planning', 'PRSP 499 Capstone', 'MKTG 300 Marketing Principles', 'MGMT 360 Managing a Diverse Workforce', 'PHIL 320 Business Ethics', 'BLAW 310 Business Law:  UCC and Contracts']"
Urban Early Childhood Education BS for Birth-Grade 3 Licensure ,"['EDU 200 Introduction to Urban Education and Reflective Teaching', 'EDU 203 Multicultural Education', 'PSYC 308 Child Psychology', 'PSYC 417 Language and Communication Development in Early Childhood Education', 'EDU 321 Urban Infant-Toddler Curriculum and Practicum', 'EDU 331 Physical Development, Health, Nutrition, Effects of Drugs in Birth-Grade 6', 'EDU 341 The Child and the Family in an Urban Setting', 'EDU 361 The Arts in Early Childhood and Elementary Education', 'EDU 383 Information Technology for K-12 Education', 'PSYC 357 Observing and Assessing Young Children:  Birth Through Age Five', 'PSYC 359 Positive Behavior Guidance', 'EDU 323 Urban Pre-K and Kindergarten Curriculum and Practicum', 'EDU 311 Urban Teaching Practicum and Seminar', 'EDU 325 Emergent Literacy in Urban Early Childhood Education', 'EDU 333 Assessment of Learning in Urban Grades K-6', ""EDU 330 Teaching Children's Literature in Urban Grades K-6"", 'EDU 481 Urban Grades 1-6 Curriculum and Practicum', 'EDU 483 Foundations of Teaching Reading in Urban Grades K-6', 'EDU 484 Teaching and Assessing Children with Disabilities Birth-Grade 6', 'EDU 486 Teaching Math and Science In Urban Grades 1-3', 'EDU 487 Methods of Teaching Reading in Urban Grades K-6', 'EDU 450 Advanced Urban Teaching Practicum and Seminar', 'LAED 440 Methods of Teaching Language Arts in Urban Grades K-6', 'EDU 430 Historical and Cultural Foundations of Urban Education', 'PSYC 356 Early Childhood Development within a Social/Cultural and Historical Context', 'EDU 485 Student Teaching in the Urban  PreK-Kindergarten Classroom', 'EDU 475 Student Teaching in the Urban Infant-Toddler Classroom', 'EDU 490 Student Teaching in the Urban Primary Grades 1-3']"
